user_id,eval_set,last_product_ids
138341,test,"9692, 10892, 39297, 25232, 14861, 36431, 13767, 13920"
51069,test,"32433, 8412, 24852, 34, 28226, 6568, 34126, 35935, 12456, 8424, 2611"
107157,train,23915
53182,test,21137
13729,train,"27783, 20114, 28842, 40709, 24852, 38456, 45570, 43961, 48679, 8424, 43086, 37524, 16185, 45771, 29487, 21938, 36758, 12206, 45007, 33731, 35108, 47630, 8518"
166007,test,"20567, 17600, 13176, 27845, 6104, 42265, 40723, 30489, 27966, 24680, 4920, 47626, 7120, 26209, 12206, 44661, 21137, 15392, 21903, 8607, 32030, 25588, 33401, 248"
161050,test,"42557, 21303, 45948, 47144, 7976, 11520"
107989,train,"17988, 38159, 49131, 36695"
61151,train,"44156, 5782, 47357, 30183, 23909, 29925, 39993, 27429, 7353, 21115, 22463, 22684, 4011, 46811, 5315, 10442, 28713, 18618, 17795, 17986, 35042, 9199, 46397, 28786, 29356, 8670, 46720, 5025, 26172, 2202, 46175, 38563"
14597,test,"33741, 42265, 7751, 31961, 2651, 7021, 30391, 48775, 41259, 20114, 29487, 38739, 24852, 47626, 45007, 26882"
100107,train,"9713, 47209, 37538, 36651, 47639, 5141, 37552, 12700, 40826, 19628, 24973, 49451, 30489, 40674, 40268"
39221,train,"6274, 32553, 49615, 7484, 27325, 36393, 25596, 16170"
126892,train,"3457, 44632, 35221, 21709, 20119, 5785, 14870, 43234, 17949, 22035, 44765, 13819, 34262, 25330, 25301"
72461,test,"27286, 18370, 26369, 5025, 13170, 49383, 31717, 47209, 34243, 47626, 35750, 16578"
95069,train,"13176, 17600, 21616, 33198, 44408, 28204, 34530, 17397, 43889, 47521, 36861, 204, 11992, 37166"
185724,train,"36332, 35512, 34844, 45613, 27627, 20632, 13640, 48974, 40545, 32773"
171999,train,"46979, 33768, 5876, 25659, 32747, 17835, 5031, 39947, 12576, 45747, 34358, 42736, 37935, 24631, 36651, 10343, 47439, 16430"
196733,train,"21115, 25613, 37592, 49141, 47921, 39192, 24852"
30983,train,"13176, 37646, 43352, 48094, 5818, 13380, 11250"
75357,train,"35221, 24852, 8277, 32578, 48679, 38739, 41273, 22281, 23032, 11481, 44372, 4605, 13198, 11408, 37825, 26313, 43014, 46979, 48017, 23724, 8518, 47626, 436, 45007, 15290, 24184, 2295, 22031, 15937, 30305, 36956"
31935,train,"8424, 30720, 46969, 3382, 34126, 31717, 18609, 8518, 48364"
57897,train,"34658, 4472, 9138, 26209, 47626, 21405, 25718, 24964, 30985, 44761, 37065, 1633, 4862"
66159,test,"8980, 7731"
146393,train,"24852, 22882, 32302, 3919, 8781, 32238, 48927, 35616, 11361, 45113, 35172"
145044,train,"14947, 13304, 4799, 44987, 24263, 4605, 8006, 7746, 35725"
203582,test,"41220, 24964, 20583, 47626, 43129"
59726,train,"7863, 21010, 17206, 33098, 2024, 10978, 43933, 35004, 23400, 12797, 43295, 722, 34126, 13176, 11712, 32478, 42736, 32412, 40593, 38256, 35535, 22224, 24589, 39812, 16797, 2314, 22888"
108148,train,"2966, 42265"
47552,train,"21295, 13176, 42450, 24838, 21387, 7781, 37400, 15290, 45123, 11352, 47209, 1653, 39411, 30391, 7294, 17027, 41665, 7175, 39427, 2228, 16759, 44359, 42828, 2295, 45445, 18234, 36956, 24184, 24830, 27966, 41596, 25093, 26209, 2275, 7657, 19513, 1907, 27925, 19057, 5337, 8277, 9825, 47403, 19508, 42701"
172274,train,"15576, 24852, 27845, 27392, 37646, 16083, 47626, 6948, 25753, 29675, 42460, 33845, 34069, 47788, 24964, 38793, 3988, 46979, 48679, 34969, 8467, 42736, 32717, 24009, 42585, 13858, 11440, 29926, 48697, 13605, 47766, 32360, 46584, 35132"
158873,train,"21647, 24852, 35417, 5959, 4960"
70306,train,"48171, 2091, 42834, 16797, 27288, 19604, 1988"
15229,test,"35221, 44632, 47209, 40501, 34045, 10006, 12916, 22588, 9621"
7967,train,"43545, 24852, 38452, 11913, 12564, 16083, 39527, 19019, 42425, 17652, 28934, 23801, 11067, 8025, 47209, 26369, 32433, 18171, 42356, 28842, 42110, 11535, 41238, 4799"
41755,train,"31759, 32455, 46521"
203787,test,45840
120968,test,"18503, 45104"
183720,train,"22089, 22035, 30391, 8174, 26209, 47626, 44663, 30489, 14462, 8021, 42585, 12872, 34220, 25101, 31717, 21137, 15290"
66034,train,"386, 24852, 44142, 45788, 19095, 39408, 30696, 8732, 31958, 44042, 29104, 48144, 18019, 49678, 36076, 15739, 18926"
100852,test,"3216, 29487, 26209, 28842, 6086, 40446, 41220, 28800, 41062"
196197,train,21903
129057,train,"10032, 37436, 49326"
167086,train,"24838, 32360, 41950, 13984, 36107, 7562, 44643, 43463, 22993, 33527, 44075, 42504, 49451, 42828, 4357"
57113,test,"27966, 27744, 1169, 28476, 33000, 8518, 46667, 37022, 14647, 25659, 46990, 20734, 39812, 21903, 26209, 35535, 45007, 40706, 11526, 19048, 45200"
126794,train,"45650, 29574, 17149, 35140, 2509, 21312, 44120, 21405, 45211"
44176,train,"2361, 48523, 16965, 40002, 26273, 47766, 24852, 16797, 8424"
32511,train,"6846, 17008, 13974, 937"
166449,train,"29487, 15902, 24852, 27966, 37250, 46906, 21137, 4302, 8412, 33731, 46785, 30489, 27104, 21560"
52621,test,"13176, 28985, 47626, 44910, 49683, 17878, 14652, 27966, 39275, 30727, 46667"
