order_id,F1_XGB,F1_BERT,F1_diff(BERT-XGB),True_size,XGB_pred_size,BERT_pred_size
1247117,0.0,1.0,1.0,1,0,1
3273647,0.0,1.0,1.0,1,0,1
2711851,0.0,1.0,1.0,2,0,2
2885099,0.0,1.0,1.0,1,0,1
427805,0.0,1.0,1.0,2,0,2
1425292,0.0,1.0,1.0,1,0,1
1990724,0.0,1.0,1.0,1,0,1
2223639,0.0,1.0,1.0,1,0,1
1640669,0.0,1.0,1.0,1,0,1
3266618,0.0,1.0,1.0,2,0,2
1828606,0.0,1.0,1.0,1,0,1
2146609,0.0,1.0,1.0,2,0,2
477707,0.0,1.0,1.0,2,0,2
1859084,0.0,1.0,1.0,1,0,1
1821567,0.0,1.0,1.0,1,0,1
2034078,0.0,1.0,1.0,1,0,1
977580,0.0,1.0,1.0,1,0,1
2873514,0.0,1.0,1.0,1,0,1
2183367,0.0,1.0,1.0,1,0,1
80061,0.0,1.0,1.0,1,0,1
175217,0.0,1.0,1.0,1,0,1
1144944,0.0,1.0,1.0,1,0,1
1660305,0.0,1.0,1.0,1,0,1
2456672,0.0,1.0,1.0,1,0,1
215331,0.0,1.0,1.0,1,0,1
3341845,0.0,1.0,1.0,1,0,1
2284092,0.0,1.0,1.0,1,0,1
1336890,0.0,1.0,1.0,1,0,1
1390836,0.0,1.0,1.0,1,0,1
1819538,0.0,1.0,1.0,3,0,3
2559316,0.0,1.0,1.0,1,0,1
1692554,0.0,1.0,1.0,1,0,1
2589933,0.0,1.0,1.0,2,0,2
2514472,0.0,1.0,1.0,1,0,1
370696,0.0,1.0,1.0,1,0,1
1215378,0.0,1.0,1.0,1,0,1
858609,0.0,1.0,1.0,1,0,1
505464,0.0,1.0,1.0,1,0,1
1333457,0.0,1.0,1.0,1,0,1
1002284,0.0,1.0,1.0,1,0,1
2994008,0.0,1.0,1.0,1,0,1
1157348,0.0,1.0,1.0,2,0,2
3001931,0.0,1.0,1.0,1,0,1
1688708,0.0,1.0,1.0,1,0,1
3320675,0.0,1.0,1.0,1,0,1
864205,0.0,1.0,1.0,1,0,1
3205834,0.0,1.0,1.0,1,0,1
1396575,0.0,1.0,1.0,1,0,1
3272597,0.0,1.0,1.0,1,0,1
1903274,0.0,1.0,1.0,1,0,1
