source,order_id,products,user_id,eval_set,last_product_ids
xgb,1.0,49302 11109 10246 49683 43633 13176 47209 22035,,,
xgb,36.0,39612 19660 49235 43086 46620 34497 48679 46979,,,
xgb,38.0,11913 18159 21616 23622 32433 28842 42625 39693,,,
xgb,96.0,20574 30391 40706 25610 27966 24489 39275,,,
xgb,98.0,8859 19731 43654 13176 4357 37664 34065 35951 43560 9896 27509 15455 27966 47601 40396 35042 40986 1939 46313 329 30776 36695 27683 15995 27344 47333 48287 45204 24964 18117 46413 34126 9373 22935 46720 44479 790 18441 45007 20520 7461 26317 3880 36364 32463 41387 31066 17747 25659,,,
bert,,,3008815,train,23915
bert,,,1294006,train,"27783, 20114, 28842, 40709, 24852, 38456, 45570, 43961, 48679, 8424, 43086, 37524, 16185, 45771, 29487, 21938, 36758, 12206, 45007, 33731, 35108, 47630, 8518"
bert,,,973367,train,"17988, 38159, 49131, 36695"
bert,,,2762785,train,"44156, 5782, 47357, 30183, 23909, 29925, 39993, 27429, 7353, 21115, 22463, 22684, 4011, 46811, 5315, 10442, 28713, 18618, 17795, 17986, 35042, 9199, 46397, 28786, 29356, 8670, 46720, 5025, 26172, 2202, 46175, 38563"
bert,,,601851,train,"9713, 47209, 37538, 36651, 47639, 5141, 37552, 12700, 40826, 19628, 24973, 49451, 30489, 40674, 40268"
