order_id,F1_XGB,F1_BERT,F1_diff(BERT-XGB),True_size,XGB_pred_size,BERT_pred_size
2801652,1.0,0.19999999999999998,-0.8,1,1,9
394900,1.0,0.19999999999999998,-0.8,1,1,9
424526,1.0,0.25,-0.75,1,1,7
2925121,1.0,0.25,-0.75,1,1,7
140662,1.0,0.2857142857142857,-0.7142857142857143,1,1,6
3077673,1.0,0.2857142857142857,-0.7142857142857143,1,1,6
891733,1.0,0.2857142857142857,-0.7142857142857143,1,1,6
2877802,1.0,0.2857142857142857,-0.7142857142857143,1,1,6
2037729,1.0,0.33333333333333337,-0.6666666666666666,1,1,5
980385,1.0,0.33333333333333337,-0.6666666666666666,1,1,5
827554,1.0,0.33333333333333337,-0.6666666666666666,1,1,5
1500083,1.0,0.33333333333333337,-0.6666666666666666,1,1,5
2624388,1.0,0.33333333333333337,-0.6666666666666666,1,1,5
488940,1.0,0.33333333333333337,-0.6666666666666666,1,1,5
178507,1.0,0.33333333333333337,-0.6666666666666666,1,1,5
3321,1.0,0.33333333333333337,-0.6666666666666666,1,1,5
1924477,1.0,0.4,-0.6,1,1,4
3077218,1.0,0.4,-0.6,1,1,4
1751790,1.0,0.4,-0.6,1,1,4
3160975,1.0,0.4,-0.6,1,1,4
2094479,1.0,0.4,-0.6,1,1,4
1902674,1.0,0.4,-0.6,1,1,4
682701,1.0,0.4,-0.6,1,1,4
280164,1.0,0.4,-0.6,1,1,4
1020046,1.0,0.4,-0.6,1,1,4
1962350,1.0,0.4,-0.6,1,1,4
140747,1.0,0.4,-0.6,1,1,4
1695140,1.0,0.4444444444444445,-0.5555555555555556,2,2,7
2486792,1.0,0.4444444444444445,-0.5555555555555556,2,2,7
1740020,1.0,0.4444444444444445,-0.5555555555555556,2,2,7
689305,0.6666666666666666,0.11764705882352941,-0.5490196078431372,1,2,16
1834552,0.8571428571428571,0.34782608695652173,-0.5093167701863354,4,3,19
617281,1.0,0.5,-0.5,1,1,3
2444645,1.0,0.5,-0.5,1,1,3
852390,1.0,0.5,-0.5,1,1,3
453167,1.0,0.5,-0.5,1,1,3
2628729,1.0,0.5,-0.5,1,1,3
1364614,1.0,0.5,-0.5,1,1,3
1096750,1.0,0.5,-0.5,1,1,3
1926652,1.0,0.5,-0.5,1,1,3
3260658,1.0,0.5,-0.5,1,1,3
814842,1.0,0.5,-0.5,1,1,3
790593,1.0,0.5,-0.5,1,1,3
767512,1.0,0.5,-0.5,1,1,3
571086,1.0,0.5,-0.5,1,1,3
2888552,1.0,0.5,-0.5,1,1,3
1977142,1.0,0.5,-0.5,1,1,3
1738746,1.0,0.5,-0.5,1,1,3
1693614,1.0,0.5,-0.5,1,1,3
2691924,1.0,0.5,-0.5,1,1,3
